!CSV A.01.01
!Agilent Technologies,N5221A,MY51411109,A.09.90.13
!Agilent N5221A: A.09.90.13
!Date: Thursday, November 29, 2018 21:13:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
1144000000,-5.7587543,-24.930767
1144090000,-5.8000636,-25.877121
1144180000,-5.8454103,-26.89929
1144270000,-5.8882275,-27.792629
1144360000,-5.9353909,-28.72542
1144450000,-5.9790192,-29.668242
1144540000,-6.029932,-30.619469
1144630000,-6.0768995,-31.547104
1144720000,-6.125598,-32.516544
1144810000,-6.1731968,-33.479435
1144900000,-6.2318268,-34.456947
1144990000,-6.2871413,-35.3918
1145080000,-6.3354955,-36.369553
1145170000,-6.3940096,-37.305481
1145260000,-6.4505901,-38.297928
1145350000,-6.5111771,-39.268955
1145440000,-6.5694752,-40.260559
1145530000,-6.6305814,-41.203705
1145620000,-6.6899405,-42.208694
1145710000,-6.759213,-43.18383
1145800000,-6.8215799,-44.159512
1145890000,-6.8870254,-45.114452
1145980000,-6.959228,-46.120037
1146070000,-7.0318131,-47.068005
1146160000,-7.0945854,-48.04142
1146250000,-7.1691389,-49.018017
1146340000,-7.2442002,-50.074017
1146430000,-7.3150768,-51.02602
1146520000,-7.393939,-52.045605
1146610000,-7.4689183,-53.02689
1146700000,-7.5574923,-54.04314
1146790000,-7.6348939,-55.040054
1146880000,-7.7269421,-56.049171
1146970000,-7.8142223,-57.067295
1147060000,-7.9002571,-58.011044
1147150000,-7.9901013,-59.065845
1147240000,-8.0836496,-60.136967
1147330000,-8.1817436,-61.144886
1147420000,-8.2755413,-62.161217
1147510000,-8.3800268,-63.167488
1147600000,-8.4841156,-64.244606
1147690000,-8.5879641,-65.269714
1147780000,-8.7039661,-66.205956
1147870000,-8.8067169,-67.319824
1147960000,-8.9229412,-68.348717
1148050000,-9.0448236,-69.410889
1148140000,-9.1549149,-70.39476
1148230000,-9.2863607,-71.435211
1148320000,-9.411418,-72.528358
1148410000,-9.5382195,-73.530846
1148500000,-9.6713648,-74.612984
1148590000,-9.8179359,-75.662766
1148680000,-9.9534082,-76.725357
1148770000,-10.102235,-77.798035
1148860000,-10.259697,-78.90448
1148950000,-10.418138,-79.933517
1149040000,-10.570117,-81.005798
1149130000,-10.736022,-82.106049
1149220000,-10.904205,-83.218575
1149310000,-11.083807,-84.207726
1149400000,-11.264288,-85.297989
1149490000,-11.441483,-86.371948
1149580000,-11.636519,-87.501625
1149670000,-11.84503,-88.499596
1149760000,-12.048652,-89.647194
1149850000,-12.261064,-90.73584
1149940000,-12.492805,-91.803246
1150030000,-12.722976,-92.906227
1150120000,-12.957025,-93.93689
1150210000,-13.206024,-95.056686
1150300000,-13.474271,-96.164703
1150390000,-13.746231,-97.214607
1150480000,-14.034143,-98.320435
1150570000,-14.320755,-99.424713
1150660000,-14.638442,-100.49437
1150750000,-14.956076,-101.67126
1150840000,-15.288061,-102.71413
1150930000,-15.657588,-103.82989
1151020000,-16.018972,-104.79965
1151110000,-16.422924,-105.90221
1151200000,-16.836554,-107.00158
1151290000,-17.280136,-108.02521
1151380000,-17.739307,-109.06176
1151470000,-18.252087,-110.09824
1151560000,-18.786102,-111.13058
1151650000,-19.353251,-112.15218
1151740000,-19.975601,-113.30847
1151830000,-20.625507,-114.20222
1151920000,-21.374178,-115.20382
1152010000,-22.193268,-115.94944
1152100000,-23.055693,-116.65372
1152190000,-24.081074,-117.35555
1152280000,-25.236778,-117.79633
1152370000,-26.530849,-118.47243
1152460000,-28.129406,-118.48959
1152550000,-30.06422,-118.02785
1152640000,-32.619537,-115.70114
1152730000,-36.207527,-111.18826
1152820000,-41.462589,-95.904953
1152910000,-46.129631,-29.095079
1153000000,-39.647041,19.872314
1153090000,-34.893612,30.302132
1153180000,-31.688936,34.020882
1153270000,-29.325508,35.335381
1153360000,-27.458549,35.638577
1153450000,-25.953417,35.469341
1153540000,-24.62991,35.133587
1153630000,-23.466064,34.440254
1153720000,-22.450129,33.81868
1153810000,-21.578241,32.883186
1153900000,-20.747902,31.927473
1153990000,-19.978823,30.870327
1154080000,-19.284775,29.913572
1154170000,-18.659077,28.815226
1154260000,-18.046261,27.759439
1154350000,-17.474537,26.641872
1154440000,-16.944883,25.410986
1154530000,-16.454525,24.330587
1154620000,-15.987155,23.222183
1154710000,-15.536995,22.0669
1154800000,-15.110476,20.832136
1154890000,-14.709949,19.64912
1154980000,-14.341778,18.487638
1155070000,-13.965927,17.255402
1155160000,-13.608046,16.105421
1155250000,-13.287146,14.881355
1155340000,-12.967997,13.723117
1155430000,-12.659672,12.416385
1155520000,-12.36646,11.249003
1155610000,-12.092196,10.068563
1155700000,-11.815747,8.8525143
1155790000,-11.534766,7.6324105
1155880000,-11.296684,6.4955692
1155970000,-11.048712,5.2703176
1156060000,-10.821832,4.0283303
1156150000,-10.596718,2.8924432
1156240000,-10.366637,1.6949277
1156330000,-10.159534,0.50568247
1156420000,-9.9498568,-0.70416337
1156510000,-9.7520256,-1.8357762
1156600000,-9.5551558,-3.0009725
1156690000,-9.3727303,-4.1933279
1156780000,-9.1888733,-5.4261851
1156870000,-9.0092754,-6.5644517
1156960000,-8.832552,-7.7696009
1157050000,-8.6683292,-8.9404736
1157140000,-8.5031118,-10.09794
1157230000,-8.3420219,-11.223248
1157320000,-8.1857376,-12.386547
1157410000,-8.0380554,-13.543987
1157500000,-7.8956451,-14.720767
1157590000,-7.7492924,-15.854645
1157680000,-7.6171055,-17.053465
1157770000,-7.479526,-18.14954
1157860000,-7.3432693,-19.259531
1157950000,-7.2142177,-20.436167
1158040000,-7.0943742,-21.561354
1158130000,-6.9748263,-22.687864
1158220000,-6.8502889,-23.802147
1158310000,-6.7393851,-24.943333
1158400000,-6.6258187,-26.083071
1158490000,-6.5094566,-27.180119
1158580000,-6.408474,-28.34565
1158670000,-6.3043971,-29.44569
